"account_id";"account_currency";"exclude from invoice";"tap_code";"Tap name";"Discount (%)";"Markup (%)";"Account name";"Remove Discount for bill cycle";"Comments"
"231,400,805";"EUR";"YES";;;;"1";"Best LED Technology Sarl";;;
"231,086,505";"EUR";"YES";;;;"1";"BIKEEP OÜ";;;
"186,068,906";"SEK";"YES";;;;"1";"Blinkfyrar AB";;;
"172,899,706";"SEK";"YES";;;;"1";"Bostads AB Poseidon";;;
"186,529,006";"SEK";"YES";;;;"1";"Loxess Sverige AB";;;
"186,408,606";"SEK";"YES";;;;"1";"Brick Technology AB";;;
"217,917,805";"SEK";"YES";;;;"1";"Budbee Group AB";;;
"231,411,405";"SEK";"YES";;;;"1";"Buddywise AB";;;
"231,218,805";"EUR";"YES";;;;"1";"Bulk Tainer Logistics LTD";;;
"184,406,106";"EUR";"YES";;;;"1";"BWT Wassertechnik GmbH";;;
"231,215,505";"SEK";"YES";;;;"1";"Candela Technology AB";;;
"132,215,406";"EUR";;;;"1";"1";"CargoMon Systems GmbH";;;
"186,488,806";"SEK";"YES";;;;"1";"Caverion Sverige AB";;;
"186,024,906";"EUR";"YES";;;;"1";"Cenex";;;
"231,474,605";"SEK";"YES";;;;"1";"Cetasol AB";;;
"186,471,806";"SEK";"YES";;;;"1";"Charge Node Europé AB";;;
"231,401,005";"SEK";"YES";;;;"1";"Cherry Spelglädje AB";;;
"186,422,806";"EUR";"YES";;;;"1";"CHRISTOS APODIAKOS LTD";;;
"174,439,405";"EUR";"YES";;;;"1";"Chubb Security Systems";;;
"231,169,905";"SEK";"YES";;;;"1";"Cibes Kalea Sverige AB";;;
"231,172,805";"SEK";"YES";;;;"1";"Cibes Kalea Sverige AB - Legacy";;;
"186,080,206";"EUR";"YES";;;;"1";"Cisco Systems Belgium SRL (BV)";;;
"186,140,206";"EUR";;;;"1";"1";"CityBee Solutions UAB";;;
"186,008,906";"EUR";"YES";;;;"1";"Citymesh 0G";;;
"186,113,406";"EUR";"YES";;;;"1";"Climax Deutschland GmbH";;;
"186,419,806";"EUR";;;;"1";"1";"Coca-Cola Europacific Partners Norge AS";;;
"173,223,505";"EUR";;;;"1";"1";"Combivox Srl Unipersonale";;;
"168,586,705";"EUR";"YES";;;;"1";"Commander Systems s.r.o";;;
"155,885,005";"EUR";"YES";;;;"1";"Comsel System Ltd";;;
"231,094,505";"EUR";"YES";;;;"1";"ConnectedYou Europe ApS";;;
"186,345,306";"EUR";;;;"1";"1";"Connectyca s.r.l.s.";;;
"231,053,205";"SEK";"YES";;;;"1";"Corepart AB";;;
"231,109,205";"SEK";"YES";;;;"1";"Crobocom AS";;;
"231,251,405";"EUR";"YES";;;;"1";"cthings.co sp. z o.o. (intelliventory)";;;
"219,066,505";"EUR";"YES";;;;"1";"Cuboid AS";;;
"121,766,406";"SEK";"YES";;;;"1";"Cubsec Bevakning AB";;;
"186,520,206";"SEK";"YES";;;;"1";"Curosense AB";;;
"231,053,805";"SEK";"YES";;;;"1";"Cuviva AB";;;
"125,254,106";"EUR";"YES";;;;"1";"Cygnal Limited";;;
"231,116,505";"EUR";"YES";;;;"1";"Daikin Airconditioning Central Europe HandelsgmbH";;;
"186,299,606";"EUR";"YES";;;;"1";"dapo Sicherheitstechnik GmbH";;;
"186,578,106";"EUR";"YES";;;;"1";"Datasim Solutions B.V.";;;
"221,418,505";"SEK";"YES";;;;"1";"DataVäxt AB";;;
"124,193,006";"EUR";"YES";;;;"1";"Deko Alarm & Bevelligingstechniek BV";;;
"117,354,506";"EUR";"YES";;;;"1";"DETEC Security Solutions BV.";;;
"186,516,506";"SEK";"YES";;;;"1";"Deviaq AB";;;
"173,069,005";"EUR";"YES";;;;"1";"Diebold-Nixdorf AB";;;
"186,539,606";"SEK";"YES";;;;"1";"Digital Visual Solutions Sweden AB";;;
"228,682,105";"EUR";"YES";;;;"1";"din - Dietmar Nocker Facilitymanagement GmbH & Co KG";;;
"231,018,205";"EUR";"YES";;;;"1";"dmTECH GmbH";;;
"158,048,205";"EUR";"YES";;;;"1";"Dogma Systems";;;
"204,258,305";"EUR";"YES";;;;"1";"DunavNet";;;
"160,774,605";"SEK";"YES";;;;"1";"Dunderon AB";;;
"231,020,505";"EUR";"YES";;;;"1";"Duocall Communicatons Ltd";;;
"139,582,306";"SEK";"YES";;;;"1";"Duosec Alarm AB";;;
"231,077,105";"EUR";"YES";;;;"1";"Eagle Eye Networks B.V.";;;
"231,432,905";"EUR";"YES";;;;"1";"EBS Sp. z o. o.";;;
"171,097,805";"EUR";"YES";;;;"1";"Ecos Systems GmbH";;;
"186,011,106";"EUR";"YES";;;;"1";"Ecotap B.V.";;;
"231,044,905";"SEK";"YES";;;;"1";"Ellevio - Legacy";;;
"153,898,005";"SEK";"YES";;;;"1";"Ellevio AB";;;
"186,456,206";"SEK";"YES";;;;"1";"Elonroad AB";;;
"100,192,405";"SEK";"YES";;;;"1";"Elvaco AB";;;
"231,046,305";"SEK";"YES";;;;"1";"Enera International AB - Legacy";;;
"231,028,805";"EUR";;;;"1";"1";"Volue Oy";;;
"223,190,905";"EUR";"YES";;;;"1";"Ensto Chago Oy";;;
"218,791,805";"EUR";"YES";;;;"1";"Epec Oy";;;
"155,907,005";"SEK";"YES";;;;"1";"ESAB Europe GmbH";;;
"186,012,506";"EUR";;;;"1";"1";"Europress Group Oy";;;
"183,508,205";"EUR";;;;"1";"1";"EV-Box B.V.";;;
"186,487,306";"SEK";"YES";;;;"1";"Everdrone AB";;;
"186,178,506";"EUR";"YES";;;;"1";"Everynet BV";;;
"100,166,605";"SEK";"YES";;;;"1";"Fågelviksgruppen Förvaltning AB";;;
"231,103,505";"SEK";"YES";;;;"1";"Fastighetskontoret";;;
"231,362,705";"SEK";"YES";;;;"1";"Fillngo i Sverige AB";;;
"142,467,706";"SEK";"YES";;;;"1";"Find me by TracknTrace AB";;;
"163,054,805";"EUR";;;;"1";"1";"Fink Zeitsysteme GmbH";;;
"231,204,905";"EUR";"YES";;;;"1";"Flamco B.V.";;;
"150,492,406";"SEK";"YES";;;;"1";"Flexime Technologies AB";;;
"186,313,706";"SEK";"YES";;;;"1";"Forcit Consulting AB";;;
"231,181,705";"EUR";"YES";;;;"1";"Fortum Oyj";;;
"121,755,706";"SEK";"YES";;;;"1";"Frost Alarm & Access AB";;;
"231,101,005";"EUR";"YES";;;;"1";"FULLUP SPRL";;;
"186,032,106";"SEK";"YES";;;;"1";"Gästrike Vatten AB";;;
"119,137,805";"SEK";"YES";;;;"1";"GB Framåt Transport AB";;;
"186,057,906";"EUR";"YES";;;;"1";"GeoLook SAS";;;
"139,820,406";"EUR";"YES";;;;"1";"GEPRO Electronics BV";;;
"116,931,006";"EUR";"YES";;;;"1";"Giant Leap Technologies";;;
"186,580,506";"EUR";"YES";;;;"1";"Globalgig Limited";;;
"173,078,506";"EUR";;;;"1";"1";"Globe Tracker international ApS";;;
"171,069,606";"EUR";"YES";;;;"1";"Gosafe Europe BV";;;
"231,045,005";"SEK";"YES";;;;"1";"Göteborg Energi - Legacy";;;
"231,019,505";"SEK";"YES";;;;"1";"Göteborg Energi AB";;;
"172,905,506";"SEK";"YES";;;;"1";"Göteborg Gatu AB";;;
"185,883,506";"SEK";"YES";;;;"1";"Göteborg Stad Intraservice";;;
"185,983,706";"SEK";"YES";;;;"1";"Göteborgs Stad Idrotts- och föreningsförvaltningen";;;
"174,185,006";"SEK";"YES";;;;"1";"Stadsfastighetsförvaltningnen";;;
"224,010,305";"SEK";"YES";;;;"1";"Göteborgs stad Miljöförvaltningen";;;
"230,810,705";"SEK";"YES";;;;"1";"Göteborgs Stads Parkerings AB";;;
"120,037,506";"SEK";"YES";;;;"1";"GPS Logik Sverige AB";;;
"186,101,206";"SEK";"YES";;;;"1";"GPS Logik Sverige AB - Legacy";;;
"231,334,605";"EUR";"YES";;;;"1";"GPS Solution Maroc";;;
"141,333,306";"EUR";"YES";;;;"1";"GRAVITON";;;
"173,309,005";"EUR";"YES";;;;"1";"Green Way Systems GmbH";;;
"224,361,305";"EUR";"YES";;;;"1";"GSGroup Finland Oy";;;
"127,631,206";"EUR";;;;"1";"1";"GSM Apsardze SIA";;;
"121,127,606";"EUR";;;;"1";"1";"GSMvalve OÜ";;;
"120,886,506";"SEK";"YES";;;;"1";"GSS Larm AB";;;
"130,254,006";"EUR";;;;"1";"1";"GUV Electronics";;;
"160,758,105";"EUR";"YES";;;;"1";"Hansa Telematik";;;
"185,995,206";"EUR";;;;"1";"1";"Hansab AS";;;
"185,995,106";"EUR";"YES";;;;"1";"Hansab SIA";;;
"231,018,905";"EUR";"YES";;;;"1";"HEP Plin d.o.o.";;;
"231,032,905";"SEK";"YES";;;;"1";"Higab";;;
"128,890,806";"EUR";"YES";;;;"1";"Hilltronic Warenhandels GmbH";;;
"231,418,905";"EUR";"YES";;;;"1";"HIT-Service";;;
"143,149,506";"SEK";"YES";;;;"1";"HM Power Metering AB";;;
"161,871,705";"SEK";"YES";;;;"1";"Husqvarna AB";;;
"231,154,705";"EUR";"YES";;;;"1";"IBM Nederland BV";;;
"219,054,005";"EUR";"YES";;;;"1";"ICT Netherlands. BV";;;
"186,564,406";"EUR";"YES";;;;"1";"IKOM D.O.O.";;;
"231,443,905";"EUR";"YES";;;;"1";"ilogs healthcare GmbH";;;
"231,025,605";"SEK";"YES";;;;"1";"Impulslarm Norrköping AB";;;
"186,399,006";"SEK";"YES";;;;"1";"Induo AB";;;
"121,999,706";"SEK";"YES";;;;"1";"Inköp Gävleborg";;;
"154,343,606";"EUR";"YES";;;;"1";"INSYS icom GmbH";;;
"231,039,405";"SEK";"YES";;;;"1";"INTAB Interface-Teknik AB";;;
"231,272,505";"EUR";"YES";;;;"1";"INVINEO SA";;;
